ExperimentID,Fold,Topics,LogPerplexityTrain,Perplexity
F3_K084,3,84,-6.756614659716356,108.12937225904791
F3_K085,3,85,-6.774586315997712,109.48476469750996
F3_K086,3,86,-6.753611065683567,107.90448835709378
F3_K087,3,87,-6.785941838909378,110.3499250040755
F3_K088,3,88,-6.792538773632147,110.85567164399636
F3_K089,3,89,-6.768132508140355,108.99608516574965
F3_K090,3,90,-6.836647778476331,114.29732099158873
F3_K091,3,91,-6.775125316040052,109.52567654387502
F3_K092,3,92,-6.804540917354527,111.78175473928934
F3_K093,3,93,-6.773656806877534,109.41424784684061
F3_K094,3,94,-6.845737129699229,115.01969680997368
F3_K095,3,95,-6.837944489965511,114.40009896740384
F3_K096,3,96,-6.854128960350591,115.69068997958732
F3_K097,3,97,-6.837503638055523,114.36514646817633
F3_K098,3,98,-6.850542911167685,115.40347937477641
F3_K099,3,99,-6.840611469455875,114.61177564938009
F3_K100,3,100,-6.8785573724983236,117.66629964159026
F4_K002,4,2,-6.319632784044046,79.8728221369045
F4_K003,4,3,-6.258433923347476,76.5554893359152
F4_K004,4,4,-6.171791102920305,72.0931910319375
F4_K005,4,5,-6.174934969318515,72.25046508425496
F4_K006,4,6,-6.152475590595524,71.13440453012988
F4_K007,4,7,-6.1835329634213885,72.6823400405548
F4_K008,4,8,-6.230223524976037,75.07306734858022
F4_K009,4,9,-6.218243242995615,74.45223448562209
F4_K010,4,10,-6.224256089217463,74.76318310460533
F4_K011,4,11,-6.23320630824159,75.22844206557312
F4_K012,4,12,-6.237105994438922,75.43206387097902
F4_K013,4,13,-6.263705916774348,76.83575533490483
F4_K014,4,14,-6.237617686550538,75.45882270544448
F4_K015,4,15,-6.260815813138342,76.68198685856287
F4_K016,4,16,-6.293212177413584,78.42339413618453
F4_K017,4,17,-6.309141554428071,79.29409645883067
F4_K018,4,18,-6.30564779203188,79.1023029412207
F4_K019,4,19,-6.35083138224737,81.6189011441738
F4_K020,4,20,-6.371871235248043,82.81792981456576
F4_K021,4,21,-6.374379955074951,82.96206819840064
F4_K022,4,22,-6.366509170633883,82.51069172694166
F4_K023,4,23,-6.390378850215208,83.88720364714396
F4_K024,4,24,-6.380948592701182,83.34065841647542
F4_K025,4,25,-6.4153090259962475,85.34939525895236
F4_K026,4,26,-6.404678726359571,84.72282124629282
F4_K027,4,27,-6.426591240150236,86.01946421455371
F4_K028,4,28,-6.438590977750377,86.73792213341889
F4_K029,4,29,-6.441409591721603,86.90754890177456
F4_K030,4,30,-6.423085011768167,85.81066216270669
F4_K031,4,31,-6.508177248941499,91.02413678003707
F4_K032,4,32,-6.476684374847715,89.05868316045226
F4_K033,4,33,-6.485406319268511,89.5987263455665
F4_K034,4,34,-6.449851581770637,87.41758282664279
F4_K035,4,35,-6.495908019629076,90.2533151030946
F4_K036,4,36,-6.480752152951135,89.3101445956935
F4_K037,4,37,-6.517334793093427,91.60375246333504
F4_K038,4,38,-6.5119708650720245,91.2638028390715
F4_K039,4,39,-6.533523924707194,92.63746852680961
F4_K040,4,40,-6.5514867561904815,93.7980975223952
F4_K041,4,41,-6.547213802071128,93.52069862178749
F4_K042,4,42,-6.570352251738669,95.03270909257164
F4_K043,4,43,-6.55304160655223,93.89924199150428
F4_K044,4,44,-6.587861377422841,96.19309135732608
F4_K045,4,45,-6.577628840033841,95.51324082318689
F4_K046,4,46,-6.610931775003168,97.74369746423538
F4_K047,4,47,-6.58697625944315,96.13409335739887
F4_K048,4,48,-6.579290573809353,95.62331884828015
F4_K049,4,49,-6.590598718021557,96.37577945669848
F4_K050,4,50,-6.632345257642374,99.20529757462364
F4_K051,4,51,-6.607183527830594,97.49008044066117
F4_K052,4,52,-6.608687051680027,97.59173398687929
F4_K053,4,53,-6.616562641698669,98.12593847092053
F4_K054,4,54,-6.605829291382271,97.39861088462226
F4_K055,4,55,-6.674437266067419,102.14234430121876
F4_K056,4,56,-6.606681840782941,97.45618484508319
F4_K057,4,57,-6.643066954082064,99.94530931129569
