ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI
F3_K034,3,34,-3.5246688399992134,0.4474811286667532,-4.48326501081915,-0.10146612129826593
F3_K035,3,35,-3.829862786356705,0.42856681001023844,-4.571731146932691,-0.10801600463422026
F3_K036,3,36,-4.1728702275268965,0.45007298959497244,-4.6248400550201,-0.1096368091206412
F3_K037,3,37,-3.9766158822414823,0.48351203619459526,-4.595203084598049,-0.1014366399135491
F3_K038,3,38,-3.5397327925802275,0.44616753547667254,-4.691656458545214,-0.11035730015486415
F3_K039,3,39,-3.4590474700127403,0.45474285573580003,-4.367486058553174,-0.09359184499070378
F3_K040,3,40,-4.158389283852934,0.44909255482350596,-4.850746224837841,-0.10895117618220267
F3_K041,3,41,-3.7884577625460514,0.44753550467463143,-4.62286818833776,-0.10391071712975201
F3_K042,3,42,-4.041075895517401,0.4452745258609042,-4.824777373504415,-0.11475335663361864
F3_K043,3,43,-4.3319182819588855,0.4365497432753393,-5.152816867927148,-0.1293950030800108
F3_K044,3,44,-3.406963334407276,0.4875090771223574,-4.564623324873116,-0.10060725651180726
F3_K045,3,45,-3.882939389089279,0.4511834624376751,-4.86253361732403,-0.11226821634335434
F3_K046,3,46,-3.681997527266435,0.4569900170477927,-4.466657516070805,-0.09855043265515973
F3_K047,3,47,-3.933703123942074,0.4565195078120495,-4.818114603078697,-0.11259168652290247
F3_K048,3,48,-4.088615487403122,0.4389762525216216,-5.116346529305203,-0.1259546819881217
F3_K049,3,49,-4.501769615424128,0.44703642277967837,-5.023515284263318,-0.12260454110017413
F3_K050,3,50,-3.924727999041881,0.4484388131955644,-4.887261232021762,-0.11908766381975938
F3_K051,3,51,-3.9269084115836588,0.44843942275513304,-4.735068837978137,-0.10993816926924468
F3_K052,3,52,-3.8032766681847088,0.4716653355769556,-4.712673812754587,-0.10599324297165748
F3_K053,3,53,-3.9340622998787516,0.45555118163978486,-4.746599964992181,-0.11095763078110916
F3_K054,3,54,-4.525122494854106,0.42458767812097226,-5.376733158136646,-0.1354867976957
F3_K055,3,55,-3.892969585427712,0.4319434179746692,-5.01325480982535,-0.12435651351102162
F3_K056,3,56,-3.9534234048543526,0.4511122437793862,-5.120876778208717,-0.1262832941688628
F3_K057,3,57,-4.049703155409833,0.4454976603060445,-4.763910157305849,-0.11206102472772425
F3_K058,3,58,-4.139638432185974,0.4277815213022916,-5.199273264248666,-0.12840409314726767
F3_K059,3,59,-4.131984312994375,0.4423898240366529,-5.180444113891901,-0.1304650260938248
F3_K060,3,60,-4.235677572767806,0.4664800254245622,-5.085067026826737,-0.12301749459419807
F3_K061,3,61,-3.7342516503918888,0.4543179711409302,-4.884412868935986,-0.11599741666040281
F3_K062,3,62,-3.5392343108638973,0.44778159928091765,-4.956693543067592,-0.11811449826434083
F3_K063,3,63,-4.188977221800899,0.4389540885835934,-5.14961545366761,-0.12700144601201624
F3_K064,3,64,-4.418722360036695,0.4461137029398945,-5.43678673396829,-0.1358288822168093
F3_K065,3,65,-4.623855595078595,0.4290447437027141,-5.585842416893687,-0.14359322790423884
F3_K066,3,66,-4.021159204594049,0.45033390010578156,-5.172024093527383,-0.12866665669489108
F3_K067,3,67,-4.128173297373727,0.44643416397681107,-4.987988463495311,-0.11824121054560376
F3_K068,3,68,-3.979395751845087,0.4342474643740935,-4.890160418166079,-0.11538009790539781
F3_K069,3,69,-4.4276664738229154,0.43992156528782095,-5.512179686365568,-0.14364356766648295
F3_K070,3,70,-4.765764630614606,0.4335936015590301,-5.593089417023354,-0.14478506469635088
F3_K071,3,71,-4.399073211772014,0.41218318994626413,-5.521440806134188,-0.1459331873893063
F3_K072,3,72,-4.926077858749308,0.4322132475153072,-5.87238561384517,-0.15569249092868487
F3_K073,3,73,-3.7408416489526655,0.44732507215483475,-4.831473621767345,-0.11399056866329838
F3_K074,3,74,-4.288301778402601,0.4215544865429276,-5.421398665511319,-0.13724277597537476
F3_K075,3,75,-4.629868348883247,0.4423365715656547,-5.6374076796415045,-0.14398068156810312
F3_K076,3,76,-4.388310896270346,0.4401047413543811,-5.43777060065955,-0.13712377617302254
F3_K077,3,77,-4.826469945648883,0.43519775073232375,-5.637465557163452,-0.14485992943385032
F3_K078,3,78,-4.408905080706065,0.44382915205433987,-5.544404584024788,-0.14018181328468401
F3_K079,3,79,-3.956826919110322,0.4619034495316364,-5.220617397310337,-0.1256504029488915
F3_K080,3,80,-4.9828040493246,0.4218583299582244,-5.831901905490563,-0.1534364900064931
F3_K081,3,81,-3.9924514549277332,0.43844080504869604,-4.9308330173481325,-0.11505394930059316
F3_K082,3,82,-3.9932782758081213,0.43131613600360386,-5.375763346966675,-0.13628873092087254
F3_K083,3,83,-4.755539043785514,0.4318918788198282,-5.71384018091621,-0.14904100038233306
